filename,target,prediction
HueLightHandler.java,"* Applies additional {@link StateUpdate} commands as a workaround for Osram
     * Lightify PAR16 TW firmware bug. Also see
     * http://www.everyhue.com/vanilla/discussion/1756/solved-lightify-turning-off
     */","* This method adds the osram specific commands to the light state update.
     * <br>
     * The osram specific commands are:
     * <ul>
     * <li>For {@link LightStateConverter#ALERT_MODE_SELECT} the light will be turned on.
     * <li>For {@link LightStateConverter#ALERT_MODE_LONG_SELECT} the light will be turned off.
     * </ul>
     *
     * @param lightState The light state update
     * @param actionType The action type
     * @return The light state update with the osram specific commands
     */"
EventDeserializationTest.java,TODO test all events,/
CMSGateway.java,XXX TBD move this to a utility function too.,public void renderTemplate(
Config.java,very dangerous. you should have a good reason to set this to true,allow connections to non-tls servers
MChatComponent.java,TODO: improve handling of chat queue (partition it?),message queue size
LostWindow.java,TODO,TODO
Delta.java,"* File:    Delta.java
 * Package: graphy.math
 * Author:  Zachary Gill
 */","* To change this license header, choose License Headers in Project Properties.
 * To change this template file, choose Tools | Templates
 * and open the template in the editor.
 */"
AppStartupState.java,TODO: consider sufficient number of peers?,TODO: remove this
DecisionUtil.java,"TODO: BRANCH some of this stuff is UI related and isn't supposed to be defined here.","@SuppressWarnings(""restriction"")"
TableMaximumDifferenceAttribute.java,TODO: validation handling/logging,default value
AnnotationTest.java,"FIXME: These tests depend on iteration order, which is not guaranteed!",NB: These must match up with the JSON fixture...
InputOutputPaths.java,"TODO convert from .prop.xml to .prop, not .prop.xml.prop","Special case: multiple inputs, one folder output"
PlayerAI.java,case no position with game piece next available so random move,end if
ICategorizableChannel.java,"TODO-v5: Docs",/
UserServiceImpl.java,todo 将验证码存到redis,时间格式化
MainActivity.java,TODO: handle exception,TODO Auto-generated catch block
