filename,target,prediction
PhotoPage.java,"private static String getMediaTypeString(MediaItem item) {
        if (item.getMediaType() == MediaObject.MEDIA_TYPE_VIDEO) {
            return ""Video"";
        } else if (item.getMediaType() == MediaObject.MEDIA_TYPE_IMAGE) {
            return ""Photo"";
        } else {
            return ""Unknown:"" + item.getMediaType();
        }
    }","private String getMediaTypeString(MediaObject mediaObject) {
        int type = mediaObject.getMediaType();
        switch (type) {
            case MediaObject.MEDIA_TYPE_IMAGE:
                return UsageStatistics.MEDIA_TYPE_IMAGE;
            case MediaObject.MEDIA_TYPE_VIDEO:
                return UsageStatistics.MEDIA_TYPE_VIDEO;
            case MediaObject.MEDIA_TYPE_AUDIO:
                return UsageStatistics.MEDIA_TYPE_AUDIO;
            default:
                return UsageStatistics.MEDIA_TYPE_UNKNOWN;
        }
    }"
UncachedKeyRing.java,"@VisibleForTesting
    public static UncachedKeyRing forTestingOnlyAddDummyLocalSignature(
            UncachedKeyRing uncachedKeyRing, String passphrase) throws Exception {
        PGPSecretKeyRing sKR = (PGPSecretKeyRing) uncachedKeyRing.mRing;

        PBESecretKeyDecryptor keyDecryptor = new JcePBESecretKeyDecryptorBuilder().setProvider(
                Constants.BOUNCY_CASTLE_PROVIDER_NAME).build(passphrase.toCharArray());
        PGPPrivateKey masterPrivateKey = sKR.getSecretKey().extractPrivateKey(keyDecryptor);
        PGPPublicKey masterPublicKey = uncachedKeyRing.mRing.getPublicKey();

        // add packet with ""pin"" notation data
        PGPContentSignerBuilder signerBuilder = new JcaPGPContentSignerBuilder(
                masterPrivateKey.getPublicKeyPacket().getAlgorithm(),
                PgpSecurityConstants.SECRET_KEY_BINDING_SIGNATURE_HASH_ALGO)
                .setProvider(Constants.BOUNCY_CASTLE_PROVIDER_NAME);
        PGPSignatureGenerator sGen = new PGPSignatureGenerator(signerBuilder);
        { // set subpackets
            PGPSignatureSubpacketGenerator hashedPacketsGen = new PGPSignatureSubpacketGenerator();
            hashedPacketsGen.setExportable(false, false);
            hashedPacketsGen.setNotationData(false, true, ""dummynotationdata"", ""some data"");
            sGen.setHashedSubpackets(hashedPacketsGen.generate());
        }
        sGen.init(PGPSignature.DIRECT_KEY, masterPrivateKey);
        PGPSignature emptySig = sGen.generateCertification(masterPublicKey);

        masterPublicKey = PGPPublicKey.addCertification(masterPublicKey, emptySig);
        sKR = PGPSecretKeyRing.insertSecretKey(sKR,
                PGPSecretKey.replacePublicKey(sKR.getSecretKey(), masterPublicKey));

        return new UncachedKeyRing(sKR);
    }","static UncachedKeyRing fromStream(InputStream in) throws IOException {
        PGPObjectFactory pgpFact = new PGPObjectFactory(in, new JcaKeyFingerprintCalculator());
        PGPSecretKeyRing secretRing = (PGPSecretKeyRing) pgpFact.nextObject();
        PGPSecretKey secretKey = secretRing.getSecretKey();
        PGPPublicKeyRing publicKeyRing = (PGPPublicKeyRing) pgpFact.nextObject();
        PGPPublicKey publicKey = publicKeyRing.getPublicKey();
        return new UncachedKeyRing(secretKey, publicKey);
    }"
WandOfRegrowth.java,"@Override
		public void restoreFromBundle(Bundle bundle) {
			super.restoreFromBundle(bundle);
			wandLvl = bundle.getInt(WAND_LVL);
		}","@Override
		public void restoreFromBundle(Bundle bundle) {
			super.restoreFromBundle(bundle);
			wandLvl = bundle.getInt(WAND_LVL);
		}"
GoGame.java,"public void setRemovedStones(Collection<LightCoords> removedStones) {
            if (removedStones == null)
                return;

            if (this.removedStones == null)
                this.removedStones = new ArrayList<LightCoords>(8);
            else
                this.removedStones.clear();
            this.removedStones.addAll(removedStones);
        }","public void addRemovedStones(Collection<LightCoords> removedStones) {
            if (this.removedStones == null)
                this.removedStones = new ArrayList<LightCoords>(8);
            this.removedStones.addAll(removedStones);
        }"
ModuleWriter.java,"void putAttributes(final ByteVector output) {
		// 6 bytes for name, flags and version, and 5 * 2 bytes for counts.
		int moduleAttributeLength = 16 + requires.length + exports.length + opens.length + usesIndex.length
				+ provides.length;
		output.putShort(symbolTable.addConstantUtf8(Constants.MODULE)).putInt(moduleAttributeLength)
				.putShort(moduleNameIndex).putShort(moduleFlags).putShort(moduleVersionIndex).putShort(requiresCount)
				.putByteArray(requires.data, 0, requires.length).putShort(exportsCount)
				.putByteArray(exports.data, 0, exports.length).putShort(opensCount).putByteArray(opens.data, 0, opens.length)
				.putShort(usesCount).putByteArray(usesIndex.data, 0, usesIndex.length).putShort(providesCount)
				.putByteArray(provides.data, 0, provides.length);
		if (packageCount > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_PACKAGES)).putInt(2 + packageIndex.length)
					.putShort(packageCount).putByteArray(packageIndex.data, 0, packageIndex.length);
		}
		if (mainClassIndex > 0) {
			output.putShort(symbolTable.addConstantUtf8(Constants.MODULE_MAIN_CLASS)).putInt(2).putShort(mainClassIndex);
		}
	}","void putAttributes(final ByteVector output) {
		// Module attribute.
		output.putShort(Constants.MODULE).putShort(computeAttributesSize()).putShort(moduleNameIndex).putShort(moduleFlags)
				.putShort(moduleVersionIndex);
		// Module requires array.
		output.putShort(requiresCount);
		output.putByteArray(requires.data, requires.offset, requires.length);
		// Module exports array.
		output.putShort(exportsCount);
		output.putByteArray(exports.data, exports.offset, exports.length);
		// Module opens array.
		output.putShort(opensCount);
		output.putByteArray(opens.data, opens.offset, opens.length);
		// Module uses array.
		output.putShort(usesCount);
		output.putByteArray(usesIndex.data, usesIndex.offset, usesIndex.length);
		// Module provides array.
		output.putShort(providesCount);
		output.putByteArray(provides.data, provides.offset, provides.length);
		// ModulePackages attribute.
		if (packageCount > 0) {
			output.putShort(Constants.MODULE_PACKAGES).putShort(computeAttributesSize()).putShort(packageCount);
			output.putByteArray(packageIndex.data, packageIndex.offset, packageIndex.length);
		}
		// ModuleMainClass attribute.
		if (mainClassIndex > 0) {
			output.putShort(Constants.MODULE_MAIN_CLASS).putShort(computeAttributesSize()).putShort(mainClassIndex);
		}
	}"
GLCamera.java,"public void setSensorInputEnabled(boolean sensorInputEnabled) {
		this.sensorInputEnabled = sensorInputEnabled;
		if (!sensorInputEnabled) {
			// reset rotation matrix
			rotationMatrix = Calculus.createIdentityMatrix();
		}
	}","public void setSensorInputEnabled(boolean sensorInputEnabled) {
		this.sensorInputEnabled = sensorInputEnabled;
	}"
GemSwap.java,"private void saveSetting(CustomProperties prop) {
        prop.setProperty(""gemswap.bgm"", bgm);
    }","private void saveSetting(CustomProperties prop) {
        prop.setProperty(""gemswap.bgm"", String.valueOf(bgm));
    }"
StringConcatFactory.java,"private StringConcatFactory() {
        // no instantiation
    }","/* ------------------------------- String concatenation helpers ------------------------------------ */

    /**
     * This class contains the helper methods for String concatenation.
     *
     * <p>The helper methods are:
     * <ul>
     * <li>{@code static String prepend(int index, int coder, byte[] storage, byte coder, Object arg)}
     * <li>{@code static int mixLen(int len, int coder, Object arg)}
     * <li>{@code static byte mixCoder(byte coder, Object arg)}
     * </ul>
     *
     * <p>The helper methods are implemented in the {@code java.lang.StringConcatHelper} class.
     *
     * <p>The helper methods are not public, and are not intended to be called directly.
     *
     * <p>The helper methods are not intended to be called directly, and are not intended to be called directly.
     *
     * <p>The helper methods are not intended to be called directly, and are not intended to be called directly.
     *
     * <p>The helper methods are not intended to be called directly, and are not intended to be called directly.
     *
     * <p>The helper methods are not intended to be called directly, and are not intended to be called directly.
     *
     * <p>The helper methods are not intended to be called directly, and are not intended to be called directly."
o11.java,"@Override // defpackage.l11
        public final void b(i00 i00Var, Number number) {
            i00Var.N(number);
        }","@Override // defpackage.l11
        public final void b(i00 i00Var, Number number) {
            i00Var.N(number);
        }"
MettelGeneralTableauState.java,"@Override
	public Set<MettelAnnotatedExpression> equalities() {
		return equalities;
	}","@Override
	public Set<MettelAnnotatedExpression> equalities() {
		return equalities;
	}"
DHTDBMapping.java,"public int
		hashCode()
		{
			return( hash_code );
		}","public final int
		hashCode()
		{
			return( hash_code );
		}"
